team,home_win_rate,home_draw_rate,home_loss_rate
South Korea,59.60144927536232,23.369565217391305,17.02898550724638
South Ossetia,25.0,25.0,50.0
South Sudan,21.62162162162162,27.027027027027028,51.35135135135135
Spain,68.3698296836983,18.97810218978102,12.652068126520682
Sri Lanka,30.76923076923077,23.076923076923077,46.15384615384615
Sudan,45.54455445544555,26.237623762376238,28.217821782178216
Suriname,58.011049723756905,20.994475138121548,20.994475138121548
Sweden,58.69158878504673,20.5607476635514,20.747663551401867
Switzerland,44.966442953020135,23.042505592841163,31.991051454138702
Syria,48.9010989010989,23.626373626373624,27.472527472527474
Székely Land,58.333333333333336,8.333333333333332,33.33333333333333
Sápmi,52.63157894736842,5.263157894736842,42.10526315789473
São Tomé and Príncipe,26.666666666666668,13.333333333333334,60.0
Tahiti,62.06896551724138,11.206896551724139,26.72413793103448
Taiwan,42.168674698795186,13.253012048192772,44.57831325301205
Tajikistan,51.76470588235295,18.823529411764707,29.411764705882355
Tamil Eelam,66.66666666666666,0.0,33.33333333333333
Tanzania,38.435374149659864,29.931972789115648,31.63265306122449
Thailand,52.915766738660906,21.382289416846653,25.70194384449244
Tibet,0.0,16.666666666666664,83.33333333333334
Ticino,0.0,0.0,100.0
Timor-Leste,22.22222222222222,7.4074074074074066,70.37037037037037
Togo,48.9010989010989,25.274725274725274,25.82417582417583
Tonga,31.03448275862069,3.4482758620689653,65.51724137931035
Trinidad and Tobago,55.84795321637427,21.929824561403507,22.22222222222222
Tunisia,57.22379603399433,25.21246458923513,17.56373937677054
Turkey,46.73202614379085,24.509803921568626,28.75816993464052
Turkmenistan,52.17391304347826,20.28985507246377,27.536231884057973
Turks and Caicos Islands,31.818181818181817,9.090909090909092,59.09090909090909
Tuvalu,38.46153846153847,7.6923076923076925,53.84615384615385
Uganda,56.957928802588995,24.59546925566343,18.446601941747574
Ukraine,53.37423312883436,28.834355828220858,17.791411042944784
United Arab Emirates,49.570200573065904,24.641833810888254,25.787965616045845
United Koreans in Japan,25.0,50.0,25.0
United States,54.18326693227091,21.51394422310757,24.302788844621514
United States Virgin Islands,11.76470588235294,17.647058823529413,70.58823529411765
Uruguay,56.70103092783505,26.804123711340207,16.49484536082474
Uzbekistan,60.36585365853659,23.78048780487805,15.853658536585366
Vanuatu,34.93975903614458,18.072289156626507,46.98795180722892
Vatican City,0.0,66.66666666666666,33.33333333333333
Venezuela,34.35897435897436,27.692307692307693,37.94871794871795
Vietnam,52.38095238095239,19.642857142857142,27.976190476190478
Vietnam Republic,61.66666666666667,13.333333333333334,25.0
Wales,38.88888888888889,25.833333333333336,35.27777777777778
Wallis Islands and Futuna,66.66666666666666,0.0,33.33333333333333
West Papua,0.0,50.0,50.0
Western Armenia,20.0,0.0,80.0
Western Australia,100.0,0.0,0.0
Western Isles,53.84615384615385,7.6923076923076925,38.46153846153847
Western Sahara,28.57142857142857,14.285714285714285,57.14285714285714
Yemen,30.508474576271187,25.423728813559322,44.06779661016949
Yemen DPR,50.0,0.0,50.0
Ynys Môn,62.5,15.625,21.875
Yorkshire,80.0,20.0,0.0
Yoruba Nation,0.0,50.0,50.0
Yugoslavia,56.84210526315789,19.473684210526315,23.684210526315788
Zambia,55.12048192771084,28.614457831325304,16.265060240963855
Zanzibar,32.25806451612903,16.129032258064516,51.61290322580645
Zimbabwe,50.0,28.921568627450984,21.07843137254902
Åland Islands,45.16129032258064,19.35483870967742,35.483870967741936
